State,Capital,Abbreviation,Population,Region,US House Seats
Alabama,Montgomery,AL,4887871,South,7
Alaska,Juno,AK,737438,West,1
American Samoa,Pago Pago,AS,55679,South Pacific,0
Arizona,Phoenix,AZ,7171646,Southwest,9
Arkansas,Little Rock,AR,3013825,South,4
California,Sacramento,CA,39557045,West,53
Colorado,Denver,CO,5695564,West,7
Connecticut,Hartford,CT,3572665,New England,5
Delaware,Dover,DE,967171,Middle Atlantic,1
Florida,Tallahassee,FL,21299325,South,27
Georgia,Atlanta,GA,10519475,South,14
Guam,Hagatna,GU,165718,South Pacific,0
Hawaii,Honolulu,HI,1420491,West,2
Idaho,Boise,ID,1754208,West,2
Illinois,Springfield,IL,12741080,Midwest,18
Indiana,Indianapolis,IN,6691878,Midwest,9
Iowa,Des Moines,IA,3156145,Midwest,4
Kansas,Topeka,KS,2911505,Midwest,4
Kentucky,Frankfort,KY,4468402,South,6
Louisiana,Baton Rouge,LA,4659978,South,6
Maine,Augusta,ME,1338404,New England,2
Maryland,Annapolis,MD,6042718,Middle Atlantic,8
Massachusetts,Boston,MA,6902149,New England,9
Michigan,Lansing,MI,9998915,Midwest,14
Minnesota,St Paul,MN,5611179,Midwest,8
Mississippi,Jackson,MS,2986530,South,4
Missouri,Jefferson City,MO,6126452,Midwest,8
Montana,Helena,MT,1062305,West,1
Nebraska,Lincoln,NE,1929268,Midwest,3
Nevada,Carson City,NV,3034392,West,4
New Hampshire,Concord,NH,1356458,New England,2
New Jersey,Trenton,NJ,9032873,Middle Atlantic,12
New Mexico,Santa Fe,NM,2095428,Southwest,3
New York,Albany,NY,19542209,Middle Atlantic,27
North Carolina,Raleigh,NC,10383620,South,13
North Dakota,Bismarck,ND,760077,Midwest,1
Northern Mariana Islands,Capitol Hill,MP,55194,South Pacific,0
Ohio,Columbus,OH,11689442,Midwest,16
Oklahoma,Oklahoma City,OK,3943079,Southwest,5
Oregon,Salem,OR,4190713,West,5
Pennsylvania,Harrisburg,PA,12807060,Middle Atlantic,18
Puerto Rico,San Juan,PR,3706690,South Atlantic,0
Rhode Island,Providence,RI,1057315,New England,2
South Carolina,Columbia,SC,5084127,South,7
South Dakota,Pierre,SD,882235,Midwest,1
Tennessee,Nashville,TN,6770010,South,9
Texas,Austin,TX,28701845,Southwest,36
U.S. Virgin Islands,Charlotte Amalie,VI,104914,South Atlantic,0
Utah,Salt Lake City,UT,3161105,West,4
Vermont,Montpelier,VT,626299,New England,1
Virginia,Richmond,VA,8517685,Middle Atlantic,11
Washington,Olympia,WA,7535591,West,10
Washington D.C.,Washington D.C.,DC,703608,Middle Atlantic,0
West Virginia,Charleston,WV,1805832,Middle Atlantic,3
Wisconsin,Madison,WI,5813568,Midwest,8
Wyoming,Cheyenne,WY,577737,West,1
